"","site_code","BMI","BMI_special_note","invetigate_no","rank"
"1","1001G008",67.8125,"67.8125","-","B"
"2","1001G016",33.3653846153846,"33.3653846153846","-","E"
"3","1001G018",63.0263157894737,"63.0263157894737","-","C"
"4","1001G030",56.875,"56.875","-","C"
"5","1001G052",68.3,"68.3","-","B"
"6","1001G060",70.9285714285714,"70.9285714285714","-","B"
"7","1001G068",86.8421052631579,"86.8421052631579","-","A"
"8","1002G024",65.1829268292683,"65.1829268292683","-","B"
"9","1002G032",74.4396551724138,"74.4396551724138","-","B"
"10","1002G036",67.5,"67.5","-","B"
"11","1002G054",93.4,"93.4","-","A"
"12","1002G058",85.5989583333333,"85.5989583333333","-","A"
"13","1002G066",82.9166666666667,"82.9166666666667","-","A"
"14","1002G076",66.25,"66.25","-","B"
"15","1002G082",67.2058823529412,"67.2058823529412","-","B"
"16","1002G086",80.6643356643357,"80.6643356643357","-","A"
"17","1002G092",87.0238095238095,"87.0238095238095","-","A"
"18","1003G002",82.6379310344828,"82.6379310344828","-","A"
"19","1003G010",83.8125,"83.8125","-","A"
"20","1003G018",94.1549295774648,"94.1549295774648","-","A"
"21","1003G022",93.6363636363636,"93.6363636363636","-","A"
"22","1003G026",93.6871508379888,"93.6871508379888","-","A"
"23","1003G032",86.9821428571428,"86.9821428571428","-","A"
"24","1003G040",84.3115942028986,"84.3115942028986","-","A"
"25","1003G046",95.5017921146953,"95.5017921146953","-","A"
"26","1003G050",94.1358024691358,"94.1358024691358","-","A"
"27","1003G058",24.1304347826087,"24.1304347826087","-","E"
"28","1003G062",78.3870967741936,"78.3870967741936","-","B"
"29","1003G068",88.5197368421053,"88.5197368421053","-","A"
"30","1003G074",48.8068181818182,"48.8068181818182","-","D"
"31","1003G082",83.6637931034483,"83.6637931034483","-","A"
"32","1003G086",86.7748091603053,"86.7748091603053","-","A"
"33","1003G092",79.0671641791045,"79.0671641791045","-","B"
"34","1003G096",89.1857142857143,"89.1857142857143","-","A"
"35","1003G104",55.1923076923077,"55.1923076923077","-","C"
"36","1003G106",49.078947368421,"49.078947368421","-","D"
"37","1004G006",69.4475138121547,"69.4475138121547","-","B"
"38","1004G010",51.5845070422535,"51.5845070422535","-","C"
"39","1004G014",76.8263473053892,"76.8263473053892","-","B"
"40","1004G018",77.0478723404255,"77.0478723404255","-","B"
"41","1004G026",82.8980891719745,"82.8980891719745","-","A"
"42","1004G038",86.0416666666667,"86.0416666666667","-","A"
"43","1004G042",80.5857740585774,"80.5857740585774","-","A"
"44","1004G046",78.6945812807882,"78.6945812807882","-","B"
"45","1004G060",69.1032608695652,"69.1032608695652","-","B"
"46","1004G070",38.2142857142857,"38.2142857142857","-","D"
"47","1004G074",50.6578947368421,"50.6578947368421","-","C"
"48","1004G078",66.8258426966292,"66.8258426966292","-","B"
"49","1004G088",82.4590163934426,"82.4590163934426","-","A"
"50","1004G092",85.2340823970037,"85.2340823970037","-","A"
"51","1004G098",45.8333333333333,"45.8333333333333","-","D"
"52","1005G010",39,"39","-","D"
"53","1005G035",77.8663793103448,"77.8663793103448","-","B"
"54","1005G055",80.3373015873016,"80.3373015873016","-","A"
"55","1005G075",40.1923076923077,"40.1923076923077","-","D"
"56","1006G026",84.7101449275362,"84.7101449275362","-","A"
"57","1006G034",61.3815789473684,"61.3815789473684","-","C"
"58","1006G040",78.1687898089172,"78.1687898089172","-","B"
"59","1006G056",86.2390350877193,"86.2390350877193","-","A"
"60","1006G062",87.0738636363636,"87.0738636363636","-","A"
"61","1006G076",60.0294117647059,"60.0294117647059","-","C"
"62","1006G080",83.7230215827338,"83.7230215827338","-","A"
"63","1007G004",40.1056338028169,"40.1056338028169","-","D"
"64","1007G008",39.5454545454545,"39.5454545454545","-","D"
